Tweet,Sentiment
Fascinating article with insight into hydroottawa infrastructure and why power is still out for some areas in ottawa - stay safe everyone and remember to conserve if youre one of the lucky ones powered on.,1
"home after 3wks away and as the sun disappears my neighborhood eerily dark as hydro crews continue to try to undo Fridays storm. We still donu2019t have power and no one really knows when its going to come back on, but still so glad to be home",1
"Power is slowly coming on in areas of Barrhaven. We will provide more precise information on this area as we can, however please remember when your power does come back to please conserve energy & not turn on unnecessary appliances or electronics. Thanks for your understanding",1
"ELECTRICITY UPDATE from Hydro One: Theyre now targeting 6 p.m. to energize the lines to Hydro Ottawas substations. Might then be a delay before Hydro Ottawa activates lines out of them, into neighbourhoods.Again, other line breaks will still cut some people off.",1
"I wonder if they WERE prepared - for the city of 20 years ago. Lots of development, not so much Hydro capacity growth.",0
Pretty strange that TD_Place went ahead with a football game yesterday and a hockey game today despite these pleas from Hydro Ottawa.,0
"CEO of Hydro Ottawa says there are still100 outages, affecting 70,000 customers. Says crews from GTA and other municipalities have come to help and are working tirelessly to restore power",0
power restored by Maravista and Kennevale.  Great job Hydro Ottawa.  Thanks for all the support and information Jan.,1
Sounded like the Sens won the Stanley Cup in my neighbourhood moments ago because WE HAVE POWER!!Go Ottawa Hydro Go!!!,1
"Honestly, I am shocked by the amount of people talking shit about Hydro Ottawa. Our city went through a natural disaster and they are literally working round the clock to get us up and running again. Leave the politics out of it and be grateful your home is standing.",1
"Wed like to remind everyone to please be judicious w/ energy use once power is restored. While its tempting to turn everything on, many are still without power & the grid is still being repaired. Conserving energy will be key to prevent new issues from impacting the power grid.",0
MichaelSuddard Heres a good one. it may be the case where production stoppages / tranamission beyond hydro Ottawa (e.g. hydro one) stall further areas from going online. You can reverse engineer the areas by looking at the current outage map & understanding priority.,1
"So, this is fun. Hydro crews are saying the citys infrastructure hasnt seen this kind of damage since the ice storm in 98. Alexe will know just how fucked that is. (They deployed the army to help.) Looks like I scooched away from Ottawa just in time.",0
"I read about that on CBC News.  Prayers to the folks around Ottawa, ON and Gatineau, PQ.  Hope you get hydro restored real soon.",1
"Bryce Conrad of Hydro Ottawa says theyre hoping to get lights on tonight in parts of Barrhaven and Manotick. But in other areas, like Dunrobin and Arlington Woods, it could be days. He was not able to provide timelines for these communities/ individual streets.",0
"St. John the Apostle school along the other schools in the OCSB will be closed tomorrow while Hydro continues to repair the power lines and the 400 traffic lights across Ottawa. Should there be a closure Tuesday, you will be informed as soon as information is available.",0
"People should stop asking about ERT. Hydro Ottawa will not tell you when. They donut want to commit to any timing and get blamed for delay. It is a guessing game under gods control. They are like all of us not knowing when , never mind that they are the experts.",0
"Schools are closing tomorrow. Looking for some sort of statement that directs the public regarding how Hydro, first responders and the city would like Ottawa residents to handle tomorrow? Lots of people will be on the roads tomorrow unles directed otherwise.",0
"Hydro Ottawa was posting some areas will be out for days but on the other hand I saw a twitter feed that said Hydro hoped to have Brittania, Lincoln heights, Hampton Park up by tonight. I dont think anyone knows for sure. It depends on what kind of infrastructure problems .",0
Thank you for all of your hard work around the clock! Your efforts are greatly appreciated by all of us in Ottawa. Do you have an estimate as to when Meadowlands/Merivale will have their water/hydro back? Just wanting to figure out living options. Thank you SO much everyone!!! ,1
" wonder if Hydro Ottawa can try to learn from places like Hong Kong of how they are able to sustain electricity supply even in the face of a level 12 Typhoon last weekend?! Then, the crew will not have to work round the clock!",0
"Minto Recreation Complex, 3500 Cambrian Road and Jim Durrell Recreation Centre, 1265 Walkley Road are open with power. Please go there if you need to charge devices or shower. Walter Baker Sports Centre, 100 Malvern Drive has power, so you can charge devices there too.",1
Great job by our city - and hydro Ottawa - for doing all they can to get the city back on its feet quickly.  Amidst all the devastation the whole community is rallying ,1
Yeah the Ottawa citizen article says a spokesman from hydro one mentioned the power might be back on tonight but hydro one website or the twitter feed does not even remotely mention it.,0
"And those stubborn enough not to give up eventually navigated their way to Hydro Ottawas ludicrous outage center with its moronic RED YELLOW and GREEN non-code of gibberish, yes the  table of Wards with meaningless categories like pending, en route, aarrg",0
Exactly between the Merivale one and the Hawthorne one the route the grid for the city. One is no longer there so the other is working overtime and may be over run. Key part of the grid.,0
"Yes and no. The Hydro One transformer station is a single big part of the mess but Hydro Ottawa still has to contend with many, many broken lines and smaller blown transformers.",0
"Day one, crappy news coverage, didnt even figure out there were TWO tornadoes that evening.  NExt day the garbage CBC too busy hating Trump to report anything meaningul on a TORNADO, directing us to a nonexistent Hydro Ottawa outage map for two days...",0
"Ottawa has all the resources necessary to respond .., I guess Ottawa Hydro is not part of that statement!  They are over worked and lacking resources to tackle this ...72 hrs without power,  Hydro Ottawa says it is working hard to restore power, but there will be some people still in the dark tomorrow and others may be w/o power over the next week",0
LumberJoes Been helping some folks out in Dunrobin. Yes definitely thank the Hydro workers these guys they have been slugging it out since the tornado. One hell of a lot left to do yet. Metro Ottawa towing pulled up with about 5-6 tow trucks to start clearing trees and debris for Hydro.,1
"Hydro Ottawa hopes some capacity at Merivale station could be connected by tonight.   Dovercourt Recreation Centre is open today, warm showers available.",1
Remaining Greenboro power outages are not connected to Merivale. They are the result of downed poles.  Expecting to have power restored in the area mid day tomorrow. Hydro Ottawa appreciated your patience.,1
Work continues at the Merivale station in collaboration with HydroOne. No ETR at this time. We know its difficult to be w/o power. We thank you for your patience as crews continue to work around the clock to restore power as quickly & safely as possible,0
"I was here for 98 as well, my family didnt have power for days at a time and my sister was less than a year old. My point was these peoples posts dont effect you so why target them, go ahead and be displeased with hydro and how ottawa deals with disasters, fine, thats your",0
Thank you Hydro Ottawa and Alectra Utilities for all the hard work you are doing. I hope you all get a much deserved vacation after all your hard work.,1
Hydro One/Ottawa is saying it should be back by tonight hopefully! Theyve been contending with stuff like this though:,1
Hydro crews are staring to look at the hydro poles on Woodroffe and Knoxdale/Meadowlands. Thank you to all the city and hydro staff (and residents!) who are helping to clean up this mess.,1
"KANATA NORTH UPDATE: We know its taking longer than we had anticipated, but our crews are still working to restore as quickly and safely as possible. As they complete this work, please note that it could be overnight when it returns (possibly the morning). Crews are still there.",0
"Homes destroyed, cars crushed and hydro poles snapped in Ottawa and Gatineau. Whats your reaction to the tornado in Ottawa and Gatineau? ",0
"Dear Hydro:You light up my life (literally.) Ill never take you for granted again. I love you.Sincerely,All of Ottawa",1
"be blessed!The Lord said I will shake the world.Theres a lot to be said.Our prayers to all, and to those affected!",1
"We are thinking of everyone that has been affected by the #tornado that hit Ottawa and Gatineau. Thanks to all the first responders, hydro crews and healthcare professionals, including the regions nurses, for all your hard work. Stay safe.",1
thanks for doing a good job hydro one in Ottawa restore power time let people know power be back on sometime have a beautiful day for yourself and your workers.,1
